wall_t,loop_idx,infer_ms,loop_dt_ms,loop_hz,e2e_latency_ms,detected,vision_fps
1781860865.212396,369,0.000,21.831,45.807,0.000,0,7.833
1781860865.234166,370,0.000,21.769,45.936,0.000,0,7.811
1781860865.256062,371,113.483,21.897,45.669,0.000,0,7.914
1781860865.278204,372,0.000,22.142,45.163,0.000,0,7.892
1781860865.300092,373,0.000,21.888,45.688,0.000,0,7.871
1781860865.321836,374,0.000,21.743,45.991,0.000,0,7.850
1781860865.343561,375,0.000,21.726,46.028,0.000,0,7.829
1781860865.365314,376,0.000,21.753,45.972,0.000,0,7.808
1781860865.387046,377,106.167,21.732,46.014,0.000,0,7.909
1781860865.409049,378,0.000,22.002,45.449,0.000,0,7.888
1781860865.430948,379,0.000,21.899,45.664,0.000,0,7.867
1781860865.452831,380,0.000,21.883,45.699,0.000,0,7.847
1781860865.474700,381,0.000,21.869,45.726,0.000,0,7.826
1781860865.496529,382,0.000,21.829,45.810,0.000,0,7.806
1781860865.518715,383,106.484,22.186,45.074,0.000,0,7.905
1781860865.540430,384,0.000,21.715,46.050,0.000,0,7.884
1781860865.562454,385,0.000,22.024,45.405,0.000,0,7.863
1781860865.584257,386,0.000,21.802,45.866,0.000,0,7.843
1781860865.606077,387,0.000,21.820,45.829,0.000,0,7.823
1781860865.627958,388,105.987,21.882,45.701,0.000,0,7.921
1781860865.650096,389,0.000,22.138,45.171,0.000,0,7.900
1781860865.672172,390,0.000,22.075,45.300,0.000,0,7.879
1781860865.694056,391,0.000,21.884,45.695,0.000,0,7.859
1781860865.715953,392,0.000,21.897,45.669,0.000,0,7.839
1781860865.737870,393,0.000,21.917,45.626,0.000,0,7.819
1781860865.759732,394,106.806,21.862,45.741,0.000,0,7.916
1781860865.781698,395,0.000,21.966,45.526,0.000,0,7.895
1781860865.803682,396,0.000,21.985,45.486,0.000,0,7.875
1781860865.825596,397,0.000,21.914,45.633,0.000,0,7.855
1781860865.847399,398,0.000,21.803,45.865,0.000,0,7.836
1781860865.869205,399,0.000,21.806,45.859,0.000,0,7.816
1781860865.891392,400,106.630,22.187,45.071,0.000,0,7.911
1781860865.913179,401,0.000,21.787,45.899,0.000,0,7.891
1781860865.935055,402,0.000,21.876,45.713,0.000,0,7.871
1781860865.956898,403,0.000,21.843,45.781,0.000,0,7.852
1781860865.979000,404,0.000,22.102,45.245,0.000,0,7.832
1781860866.001084,405,0.000,22.084,45.281,0.000,0,7.812
1781860866.023324,406,109.410,22.240,44.965,0.000,0,7.906
1781860866.045352,407,0.000,22.028,45.397,0.000,0,7.886
1781860866.067249,408,0.000,21.897,45.669,0.000,0,7.867
1781860866.089109,409,0.000,21.860,45.745,0.000,0,7.848
1781860866.110820,410,0.000,21.711,46.060,0.000,0,7.828
1781860866.132716,411,0.000,21.896,45.670,0.000,0,7.809
1781860866.154603,412,0.000,21.887,45.689,0.000,0,7.790
1781860866.176683,413,145.211,22.079,45.291,0.000,0,7.882
1781860866.198790,414,0.000,22.107,45.235,0.000,0,7.863
1781860866.221630,415,0.000,22.840,43.782,0.000,0,7.843
1781860866.243635,416,0.000,22.005,45.445,0.000,0,7.824
1781860866.265783,417,0.000,22.148,45.152,0.000,0,7.805
1781860866.287966,418,0.000,22.184,45.078,0.000,0,7.786
1781860866.309971,419,0.000,22.005,45.445,0.000,0,7.767
1781860866.331836,420,0.000,21.864,45.736,0.000,0,7.749
1781860866.353722,421,148.065,21.886,45.691,156.646,1,7.839
1781860866.375594,422,0.000,21.873,45.719,0.000,0,7.821
1781860866.397467,423,0.000,21.872,45.720,0.000,0,7.802
1781860866.419219,424,0.000,21.753,45.972,0.000,0,7.784
1781860866.440970,425,0.000,21.751,45.976,0.000,0,7.765
1781860866.462686,426,0.000,21.716,46.050,0.000,0,7.747
1781860866.484653,427,106.674,21.967,45.523,113.231,1,7.836
1781860866.506726,428,0.000,22.074,45.303,0.000,0,7.818
